Game title,Length,Date,Location,Players
Castles of Mad King Ludwig,50,2016-12-18,Home,2
Eldritch Horror,160,2016-12-17,Home,3
7 Wonders Duel,40,2016-12-16,Home,2
7 Wonders Duel,40,2016-12-16,Home,2
7 Wonders Duel,35,2016-12-14,Home,2
BattleLore (Second Edition),100,2016-12-12,Home,2
7 Wonders Duel,30,2016-12-11,Home,2
7 Wonders Duel,35,2016-12-11,Home,2
Castles of Mad King Ludwig,60,2016-12-11,Home,2
Mysterium,35,2016-12-11,Home,3
Dead of Winter: The Long Night,90,2016-12-10,Home,2
Bruges,45,2016-12-08,Home,2
Dead of Winter: The Long Night,60,2016-12-06,Home,2
Mysterium,35,2016-12-04,Home,3
Mysterium,35,2016-12-04,Home,3
Splendor,40,2016-12-04,Home,3
Patchwork,25,2016-12-03,Home,2
Hive,15,2016-12-02,Sergey's home,2
7 Wonders Duel,35,2016-11-27,Home,2
Patchwork,40,2016-11-27,Home,2
Small World Underground,60,2016-11-27,Home,2
Neuroshima Hex!,45,2016-11-24,Dima's home,2
Race for the Galaxy,70,2016-11-24,Dima's home,4
Shadowrun: Crossfire,45,2016-11-24,Dima's home,4
Village,110,2016-11-23,Home,2
Patchwork,60,2016-11-21,Home,2
7 Wonders Duel,30,2016-11-20,Home,2
7 Wonders Duel,35,2016-11-19,Home,2
7 Wonders Duel,35,2016-11-19,Home,2
Castles of Mad King Ludwig,70,2016-11-19,Home,2
Between Two Cities,30,2016-11-05,Around Bar,4
Between Two Cities,25,2016-11-05,Around Bar,5
Runebound (Third Edition),120,2016-11-05,Around Bar,3
Citadels,35,2016-10-27,Home,2
Agricola:  All Creatures Big and Small,30,2016-10-19,Home,2
Race for the Galaxy,40,2016-10-06,Dima's home,4
Race for the Galaxy,50,2016-10-06,Dima's home,4
Shadowrun: Crossfire,90,2016-10-06,Dima's home,4
Mysterium,45,2016-10-01,Galina's home,4
Arkham Horror,130,2016-09-29,Dima's home,3
Race for the Galaxy,40,2016-09-29,Dima's home,4
Ticket to Ride: Nordic Countries,35,2016-09-28,Home,2
Mysterium,40,2016-09-27,Home,3
BattleLore (Second Edition),90,2016-09-25,Home,2
Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre,80,2016-09-25,Around Bar,6
Ticket to Ride Map Collection: Volume 5 – United Kingdom & Pennsylvania,80,2016-09-25,Around Bar,5
Saint Petersburg,100,2016-09-23,Dima's home,5
Theseus: The Dark Orbit,75,2016-09-23,Dima's home,2
Runewars,360,2016-09-22,Home,3
Small World,50,2016-09-19,Home,2
Runewars,430,2016-09-18,Dima's home,4
Bruges,130,2016-09-17,Father's home,4
Bruges,40,2016-09-17,Home,2
Ticket to Ride: Europe,40,2016-09-14,Home,2
Splendor,30,2016-09-12,Home,2
Eldritch Horror,100,2016-09-11,Home,2
BattleLore (Second Edition),90,2016-09-10,Home,2
Star Realms,45,2016-09-10,Home,2
Bruges,120,2016-09-09,Dima's home,4
Race for the Galaxy,50,2016-09-09,Dima's home,4
Star Realms,25,2016-09-08,Home,2
Small World,50,2016-09-06,Home,2
Citadels,40,2016-09-01,Home,2
Ticket to Ride Map Collection: Volume 1 – Team Asia & Legendary Asia,30,2016-08-29,Home,2
Twilight Struggle,320,2016-08-28,Home,2
Eldritch Horror,100,2016-08-27,Home,2
Agricola:  All Creatures Big and Small,25,2016-08-26,Home,2
Mice and Mystics,120,2016-08-25,Home,2
Mice and Mystics,140,2016-08-23,Home,2
Bruges,120,2016-08-20,Father's home,4
Saint Petersburg,90,2016-08-19,Dima's home,4
Ticket to Ride: Europe,50,2016-08-19,Dima's home,3
Bruges,35,2016-08-18,Home,2
Race for the Galaxy,30,2016-08-17,Home,2
Twilight Struggle,75,2016-08-15,Home,2
Agricola:  All Creatures Big and Small,35,2016-08-14,Home,2
Catan,55,2016-08-14,Mr Shpiller,3
Catan,55,2016-08-14,Mr Shpiller,3
Catan,55,2016-08-14,Mr Shpiller,3
BattleLore (Second Edition),90,2016-08-13,Dima's home,2
Dungeoneer: Realm of the Ice Witch,30,2016-08-13,Dima's home,3
Colt Express,40,2016-08-06,Engineer pub,4
Colt Express,30,2016-08-06,Engineer pub,4
New York 1901,90,2016-08-06,Engineer pub,4
Citadels,75,2016-08-01,Home,4
Mysterium,35,2016-08-01,Home,4
Mysterium,35,2016-08-01,Home,4
Frag,110,2016-07-30,Andrew's home,5
Race for the Galaxy,30,2016-07-30,Andrew's home,3
Race for the Galaxy,35,2016-07-30,Andrew's home,3
Small World,100,2016-07-30,Andrew's home,5
Kingsport Festival,120,2016-07-28,Dima's home,4
Theseus: The Dark Orbit,70,2016-07-28,Dima's home,3
BattleLore (Second Edition),70,2016-07-26,Home,2
Small World,45,2016-07-26,Home,2
Bruges,45,2016-07-25,Home,2
Mysterium,35,2016-07-24,Home,4
Splendor,55,2016-07-24,Home,4
Runewars,270,2016-07-23,Home,2
Race for the Galaxy,30,2016-07-21,Home,2
Ticket to Ride Map Collection: Volume 2 – India & Switzerland,30,2016-07-21,Home,2
Runewars,300,2016-07-19,Home,2
Runewars,240,2016-07-18,Home,2
Arkham Horror,210,2016-07-15,Dima's home,5
Mysterium,40,2016-07-10,Home,3
Mysterium,35,2016-07-10,Home,3
Splendor,35,2016-07-10,Home,3
Splendor,40,2016-07-10,Home,3
Eldritch Horror,90,2016-07-09,Dima's home,4
Power Grid: Northern Europe/United Kingdom & Ireland,170,2016-07-09,Dima's home,4
Agricola:  All Creatures Big and Small,35,2016-07-08,Home,2
Agricola:  All Creatures Big and Small,45,2016-07-04,Home,2
BattleLore (Second Edition),120,2016-07-04,Home,2
BattleLore (Second Edition),90,2016-06-28,Home,2
Mysterium,25,2016-06-28,Home,2
Mysterium,20,2016-06-28,Home,2
Race for the Galaxy,40,2016-06-28,Home,2
Kingsport Festival,120,2016-06-27,Dima's home,3
Kingsport Festival,70,2016-06-27,Dima's home,3
Arkham Horror,150,2016-06-25,Dima's home,4
Race for the Galaxy,30,2016-06-25,Lisopylka,3
Race for the Galaxy,50,2016-06-25,Lisopylka,3
Race for the Galaxy,40,2016-06-25,Dima's home,2
Bruges,50,2016-06-21,Home,2
Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre,60,2016-06-19,Engineer pub,5
Last Night on Earth: The Zombie Game,80,2016-06-19,Engineer pub,5
Talisman (Revised 4th Edition),150,2016-06-19,Engineer pub,4
Ticket to Ride: Europe,90,2016-06-18,Dima's home,5
Catan,45,2016-06-17,Dima's home,4
Shadowrun: Crossfire,30,2016-06-17,Dima's home,4
Shadowrun: Crossfire,60,2016-06-17,Dima's home,4
Dungeoneer: Realm of the Ice Witch,60,2016-06-11,Dima's home,4
Power Grid: Northern Europe/United Kingdom & Ireland,150,2016-06-11,Dima's home,4
Race for the Galaxy,50,2016-06-11,Dima's home,4
Eldritch Horror,110,2016-06-10,Home,2
Dungeoneer: Realm of the Ice Witch,100,2016-06-08,Home,2
Dungeoneer: Tomb of the Lich Lord,60,2016-06-03,Dima's home,3
Five Tribes,75,2016-06-03,Dima's home,3
Race for the Galaxy,45,2016-06-03,Dima's home,3
Small World,60,2016-05-29,Home,3
Arkham Horror,150,2016-05-28,Dima's home,4
Race for the Galaxy,45,2016-05-28,Dima's home,3
Race for the Galaxy,45,2016-05-28,Dima's home,3
Race for the Galaxy,35,2016-05-28,Dima's home,3
Star Realms,20,2016-05-28,Dima's home,2
Power Grid,180,2016-05-25,Dima's home,5
Five Tribes,80,2016-05-23,Home,2
BattleLore (Second Edition),100,2016-05-22,Home,2
BattleLore (Second Edition),80,2016-05-22,Home,2
Five Tribes,60,2016-05-22,Home,3
BANG!,50,2016-05-21,Engineer pub,5
BANG!,30,2016-05-21,Engineer pub,5
Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre,140,2016-05-21,Engineer pub,4
Five Tribes,90,2016-05-21,Engineer pub,3
Ticket to Ride: Europe,35,2016-05-20,Home,2
Imperial Settlers,100,2016-05-15,Dima's home,3
Imperial Settlers,120,2016-05-15,Dima's home,3
Race for the Galaxy,50,2016-05-15,Dima's home,3
Race for the Galaxy,45,2016-05-15,Dima's home,3
Theseus: The Dark Orbit,50,2016-05-15,Dima's home,3
Saint Petersburg,110,2016-05-13,Dima's home,3
Small World,45,2016-05-11,Home,2
Citadels,70,2016-05-09,Home,4
CV,60,2016-05-09,Home,4
Mysterium,30,2016-05-09,Home,4
Mysterium,35,2016-05-09,Home,4
Bruges,85,2016-05-07,Renata's home,4
Dixit,60,2016-05-07,Renata's home,4
Imperial Settlers,115,2016-05-07,Renata's home,4
Shadows over Camelot,100,2016-05-07,Renata's home,4
BattleLore (Second Edition),90,2016-05-06,Home,2
Bruges,80,2016-05-06,Home,3
Race for the Galaxy,60,2016-05-05,Dima's home,4
Race for the Galaxy,60,2016-05-05,Dima's home,4
BattleLore (Second Edition),100,2016-05-03,Home,2
Mysterium,30,2016-05-02,Home,4
Mysterium,25,2016-05-02,Home,4
Mysterium,35,2016-05-02,Home,4
Mysterium,25,2016-05-02,Home,4
Mysterium,45,2016-05-02,Home,4
Star Realms,40,2016-05-02,Home,2
Star Realms,20,2016-05-02,Home,2
Love Letter,15,2016-05-01,Home,2
Mysterium,30,2016-05-01,Father's home,4
Mysterium,30,2016-05-01,Father's home,4
Mysterium,60,2016-04-30,Dima's home,6
Saint Petersburg,80,2016-04-30,Dima's home,4
Mysterium,40,2016-04-29,Home,2
Mysterium,30,2016-04-29,Home,2
Imperial Settlers,70,2016-04-27,Home,2
Eldritch Horror,140,2016-04-25,Home,3
7 Wonders,45,2016-04-23,Dima's home,4
Race for the Galaxy,70,2016-04-23,Dima's home,4
Race for the Galaxy,70,2016-04-23,Dima's home,4
Theseus: The Dark Orbit,110,2016-04-23,Dima's home,4
Agricola:  All Creatures Big and Small,30,2016-04-20,Home,2
Eldritch Horror,90,2016-04-20,Home,2
Splendor,25,2016-04-17,Home,2
Small World,120,2016-04-16,Dima's home,5
7 Wonders,60,2016-04-14,Dima's home,4
7 Wonders,50,2016-04-14,Dima's home,4
Bruges,80,2016-04-14,Dima's home,4
Race for the Galaxy,45,2016-04-13,Home,2
Bruges,65,2016-04-12,Home,3
7 Wonders,45,2016-04-11,Home,2
7 Wonders,60,2016-04-10,Vova's home,6
7 Wonders,55,2016-04-10,Vova's home,6
Race for the Galaxy,40,2016-04-09,Home,2
Bruges,55,2016-04-07,Home,2
BattleLore (Second Edition),70,2016-04-05,Home,2
Catan,105,2016-04-03,Dima's home,4
Robinson Crusoe: Adventures on the Cursed Island,150,2016-04-03,Dima's home,4
Splendor,60,2016-04-02,Father's home,4
Saint Petersburg,110,2016-04-01,Dima's home,5
Race for the Galaxy,40,2016-03-31,Home,2
Ticket to Ride Map Collection: Volume 2 – India & Switzerland,60,2016-03-30,Home,3
Race for the Galaxy,45,2016-03-29,Home,2
Race for the Galaxy,40,2016-03-29,Home,2
Robinson Crusoe: Adventures on the Cursed Island,100,2016-03-28,Home,1
Robinson Crusoe: Adventures on the Cursed Island,75,2016-03-28,Home,1
Robinson Crusoe: Adventures on the Cursed Island,120,2016-03-28,Home,2
Dead of Winter: A Crossroads Game,40,2016-03-26,Engineer pub,2
Dead of Winter: A Crossroads Game,125,2016-03-26,Engineer pub,4
Neuroshima Hex!,55,2016-03-26,Engineer pub,2
Neuroshima Hex!,45,2016-03-26,Engineer pub,2
Race for the Galaxy,70,2016-03-24,Home,2
Eldritch Horror,105,2016-03-20,Dima's home,3
Power Grid,90,2016-03-20,Dima's home,3
CV,80,2016-03-19,Puzata hata,4
Ticket to Ride: Europe,75,2016-03-19,Puzata hata,4
Eldritch Horror,90,2016-03-18,Home,2
The Castles of Burgundy,80,2016-03-16,Home,2
Dixit,50,2016-03-13,Home,5
CV,60,2016-03-09,Irina's home,3
CV,75,2016-03-07,Home,3
Eldritch Horror,150,2016-03-07,Home,3
The Castles of Burgundy,160,2016-03-06,Dima's home,4
Saint Petersburg,90,2016-03-06,Dima's home,5
Small World,90,2016-03-06,Dima's home,5
Bruges,60,2016-03-04,Home,2
Brügge: Die Haustiere,60,2016-03-04,Home,2
Star Realms,20,2016-03-04,Home,2
Star Realms: Crisis – Bases & Battleships,20,2016-03-04,Home,2
Star Realms: Crisis – Fleets & Fortresses,20,2016-03-04,Home,2
Star Realms: Crisis – Heroes,20,2016-03-04,Home,2
The Castles of Burgundy,80,2016-03-03,Home,2
BattleLore (Second Edition),75,2016-03-02,Home,2
The Castles of Burgundy,90,2016-02-29,Home,2
The Castles of Burgundy,90,2016-02-28,Home,2
CV,85,2016-02-28,Galinas's home,4
Machi Koro,70,2016-02-28,Galinas's home,4
Citadels,125,2016-02-27,Lisopylka,5
Small World,45,2016-02-22,Home,2
Splendor,25,2016-02-22,Home,2
Agricola:  All Creatures Big and Small,50,2016-02-21,Home,2
Eldritch Horror,100,2016-02-21,Home,3
Small World,60,2016-02-21,Home,3
Star Realms,15,2016-02-21,Home,1
Citadels,100,2016-02-20,Father's home,4
Star Realms,40,2016-02-20,Home,2
Saint Petersburg,110,2016-02-18,Dima's home,5
Ticket to Ride Map Collection: Volume 2 – India & Switzerland,40,2016-02-15,Home,2
Ticket to Ride Map Collection: Volume 2 – India & Switzerland,35,2016-02-15,Home,2
CV,85,2016-02-13,Home,4
Love Letter,45,2016-02-13,Home,4
Small World,55,2016-02-13,Home,2
Star Realms,20,2016-02-12,Home,2
Bruges,60,2016-02-11,Home,2
Eldritch Horror,90,2016-02-10,Home,2
Star Realms,35,2016-02-10,Home,2
Star Realms,30,2016-02-08,Home,2
Bruges,115,2016-02-07,Dima's home,4
Dixit,45,2016-02-07,Home,3
Power Grid,160,2016-02-07,Dima's home,5
Citadels,60,2016-02-06,Engineer pub,6
Star Realms,30,2016-02-06,Home,2
BattleLore (Second Edition),90,2016-02-05,Home,2
Star Realms,25,2016-02-05,Home,2
Star Realms,15,2016-02-05,Home,2
Small World,50,2016-02-04,Home,2
BattleLore (Second Edition),90,2016-02-03,Home,2
Star Realms,20,2016-02-03,Home,2
Ticket to Ride: Europe,15,2016-02-03,Home,2
Splendor,25,2016-02-02,Home,2
Small World,55,2016-02-01,Home,2
Star Realms,20,2016-02-01,Home,2
Arkham Horror,150,2016-01-31,Dima's home,3
Dungeoneer: Tomb of the Lich Lord,90,2016-01-30,Dima's home,4
Machi Koro,35,2016-01-30,Dima's home,3
Machi Koro,40,2016-01-30,Dima's home,3
Power Grid,170,2016-01-30,Dima's home,5
Theseus: The Dark Orbit,60,2016-01-30,Dima's home,2
Theseus: The Dark Orbit,60,2016-01-30,Dima's home,3
Theseus: The Dark Orbit,70,2016-01-30,Dima's home,2
Bruges,60,2016-01-28,Home,2
BattleLore (Second Edition),80,2016-01-27,Home,2
Star Realms,30,2016-01-27,Home,2
Power Grid,150,2016-01-26,Dima's home,4
Small World,60,2016-01-26,Dima's home,3
Twilight Struggle,230,2016-01-25,Home,2
Eldritch Horror,160,2016-01-24,Renata's home,3
Dead of Winter: A Crossroads Game,180,2016-01-23,Engineer pub,5
Dead of Winter: A Crossroads Game,120,2016-01-23,Engineer pub,5
Power Grid,130,2016-01-23,Dima's home,4
Ticket to Ride: Nordic Countries,40,2016-01-22,Home,2
Bruges,90,2016-01-21,Home,3
Eldritch Horror,100,2016-01-21,Home,3
BattleLore (Second Edition),90,2016-01-20,Home,2
Agricola:  All Creatures Big and Small,40,2016-01-19,Home,2
BattleLore (Second Edition),75,2016-01-18,Home,2
Twilight Struggle,110,2016-01-17,Home,2
Bruges,125,2016-01-16,Dima's home,4
Theseus: The Dark Orbit,80,2016-01-16,Dima's home,3
Runebound (Second Edition),220,2016-01-15,Home,2
Bruges,60,2016-01-14,Home,2
Ticket to Ride: Nordic Countries,40,2016-01-11,Home,2
Twilight Struggle,360,2016-01-10,Home,2
Colt Express,50,2016-01-09,Engineer pub,5
Colt Express,40,2016-01-09,Engineer pub,5
Five Tribes,80,2016-01-09,Engineer pub,3
Power Grid,180,2016-01-09,Engineer pub,5
Tajemnicze Domostwo,50,2016-01-09,Engineer pub,5
Catan,90,2016-01-08,Dima's home,4
Dungeoneer: Tomb of the Lich Lord,65,2016-01-08,Dima's home,3
Theseus: The Dark Orbit,75,2016-01-08,Dima's home,4
BattleLore (Second Edition),60,2016-01-07,Home,2
BattleLore (Second Edition),130,2016-01-07,Home,2
Machi Koro,105,2016-01-07,Home,4
Eldritch Horror,75,2016-01-06,Home,2
Bruges,40,2016-01-05,Home,2
Bruges,55,2016-01-05,Home,2
BattleLore (Second Edition),90,2016-01-03,Home,2
BattleLore (Second Edition),90,2016-01-03,Home,2
BattleLore (Second Edition),90,2016-01-02,Home,2
Arkham Horror,130,2016-01-01,Dima's home,5
